,date,close,high,low,open,volume,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,rsi_14,volume_sma_20,daily_return,volatility_20,atr
0,2009-12-01,1108.8599853515625,1112.280029296875,1098.8900146484375,1098.8900146484375,4249310000,,,,1108.8599853515625,1108.8599853515625,0.0,0.0,0.0,,,,,,,,
1,2009-12-02,1109.239990234375,1115.5799560546875,1105.2900390625,1109.030029296875,3941340000,,,,1108.918447641226,1108.8881338614005,0.030313779825519305,0.006062755965103861,0.024251023860415444,,,,,,0.03426987066288412,,
2,2009-12-03,1099.9200439453125,1117.280029296875,1098.739990234375,1110.5899658203125,4810030000,,,,1107.5340778418547,1108.2238309046534,-0.6897530627986725,-0.13310040778765142,-0.5566526550110211,,,,,,-0.8402100871871099,,
3,2009-12-04,1105.97998046875,1119.1300048828125,1096.52001953125,1100.4300537109375,5781140000,,,,1107.2949859383002,1108.0576197612531,-0.762633822952921,-0.2590070908207054,-0.5036267321322156,,,,,,0.5509433669106611,,
4,2009-12-07,1103.25,1110.719970703125,1100.8299560546875,1105.52001953125,4103360000,,,,1106.672680409331,1107.7014997789381,-1.028819369607163,-0.41296954657799695,-0.615849823029166,,,,,,-0.24683814508043023,,
5,2009-12-08,1091.93994140625,1103.0400390625,1088.6099853515625,1103.0400390625,4748030000,,,,1104.4061051780877,1106.5339769365169,-2.127871758429137,-0.7559499889482251,-1.371921769480912,,,,,,-1.0251582681849114,,
6,2009-12-09,1095.949951171875,1097.0400390625,1085.8900146484375,1091.0699462890625,4115410000,,,,1103.1051584079012,1105.749975028025,-2.64481662012372,-1.1337233151833241,-1.5110933049403958,,,,,,0.36723720907769763,,
7,2009-12-10,1102.3499755859375,1106.25,1098.68994140625,1098.68994140625,3996490000,,,,1102.9889764352913,1105.4981232174998,-2.509146782208518,-1.408808008588363,-1.1003387736201549,,,,,,0.5839705004064388,,
8,2009-12-11,1106.4100341796875,1108.5,1101.3399658203125,1103.9599609375,3791090000,,,,1103.5152930113522,1105.5656721776618,-2.05037916630954,-1.5371222401325983,-0.5132569261769415,,,,,,0.3683094011583732,,
9,2009-12-14,1114.1099853515625,1114.760009765625,1107.8399658203125,1107.8399658203125,4548490000,,,,1105.1452456790769,1106.1985842646175,-1.0533385855405868,-1.440365509214196,0.38702692367360925,,,,,,0.6959401066516824,,
10,2009-12-15,1107.9300537109375,1114.1099853515625,1105.3499755859375,1114.1099853515625,5045100000,,,,1105.5736776839785,1106.3268412606412,-0.7531635766627005,-1.302925122703897,0.5497615460411964,,,,,,-0.5546967284989268,,
11,2009-12-16,1109.1800537109375,1116.2099609375,1107.9599609375,1108.6099853515625,4829820000,,,,1106.1285047650492,1106.5381903310335,-0.4096855659843186,-1.1242772113599813,0.7145916453756627,,,,,,0.11282300681465518,,
12,2009-12-17,1096.0799560546875,1106.3599853515625,1095.8800048828125,1106.3599853515625,7615070000,,,,1104.5825741942244,1105.7635063105636,-1.180932116339136,-1.1356081923558123,-0.04532392398332363,,,,,,-1.1810614167124256,,
13,2009-12-18,1102.469970703125,1103.739990234375,1093.8800048828125,1097.8599853515625,6325890000,,,,1104.257558272517,1105.5195407100125,-1.2619824374955897,-1.1608830413837679,-0.10109939611182184,,,,45.95004850936223,,0.5829880031232637,,11.894287109375
14,2009-12-21,1114.050048828125,1117.6800537109375,1105.31005859375,1105.31005859375,3977340000,,,,1105.764095281072,1106.151430200243,-0.3873349191710531,-1.0061734169412249,0.6188384977701717,,,,52.86838629068275,,1.0503758317892853,,12.0242919921875
15,2009-12-22,1118.02001953125,1120.27001953125,1114.510009765625,1114.510009765625,3641130000,,,,1107.6496220887918,1107.0305849655028,0.6190371232889902,-0.6811313088951819,1.3001684321841722,,,,54.66724634671789,,0.35635478920368335,,11.73358154296875
16,2009-12-23,1120.5899658203125,1121.5799560546875,1116.0,1118.8399658203125,3166870000,,,,1109.6404442013334,1108.0349835473405,1.60546065399285,-0.22381291631757555,1.8292735703104255,,,,61.83707937431142,,0.22986585608189003,,10.807861328125
17,2009-12-24,1126.47998046875,1126.47998046875,1121.0799560546875,1121.0799560546875,1267710000,,,,1112.2311420886283,1109.401279615593,2.8298624730352913,0.3869221615529978,2.4429403114822934,,,,61.762662288541605,,0.5256172933982839,,9.613577706473214
18,2009-12-28,1127.780029296875,1130.3800048828125,1123.510009765625,1127.530029296875,2716400000,,,,1114.6232785822046,1110.7626684808731,3.860610101331531,1.0816597495087046,2.7789503518228265,,,,64.30986501229103,,0.11540807210652648,,9.397862025669642
19,2009-12-29,1126.199951171875,1130.3800048828125,1126.0799560546875,1128.550048828125,2491020000,1109.3394958496094,,,1116.4043051344615,1111.9061709024288,4.498134232032726,1.764954646013509,2.733179586019217,1109.3394958496094,1130.1989622402125,1088.4800294590063,72.54534646466269,4258052000.0,-0.14010516979849896,,8.659293038504464
20,2009-12-30,1126.4200439453125,1126.4200439453125,1121.93994140625,1125.530029296875,2277300000,1110.2174987792969,,,1117.9451880284387,1112.9812726093091,4.963915419129535,2.404746800636714,2.5591686184928206,1110.2174987792969,1132.4265759468801,1088.0084216117136,71.10400535693451,4159451500.0,0.019542957110640913,0.5954847155756944,8.182870047433036
21,2009-12-31,1115.0999755859375,1127.6400146484375,1114.81005859375,1126.5999755859375,2076990000,1110.510498046875,,,1117.5074630372847,1113.138213570541,4.369249466743668,2.7976473338581047,1.571602132885563,1110.510498046875,1132.8196694033768,1088.2013266903732,58.26737250034828,4066234000.0,-1.004959776792158,0.6431446167828165,8.363577706473214
22,2010-01-04,1132.989990234375,1133.8699951171875,1116.56005859375,1116.56005859375,3991400000,1112.163995361328,,,1119.8893902983755,1114.6087155456398,5.280674752735649,3.294252817633614,1.9864219351020354,1112.163995361328,1136.0168761758362,1088.31111454682,64.61395763393259,4025302500.0,1.6043417666686821,0.6992396764314153,9.192862374441964
